Names,Website,Introduction,Phone Number,Address,Review Count,Average Review Count,Type,Opens At,Latitude,Longitude
Waterworks Pub,waterworkspub.com,"Gay bar & club with 2 floors offering various games, karaoke nights, drag shows & a dance floor.",(518) 465-9079,"76 Central Ave, Albany, NY 12206",542,4,Gay bar,,42.65922045,-73.76645507
Rocks,rocks77.com,"Easygoing gay bar featuring DJs, karaoke nights & burlesque shows, plus outdoor seating.",(518) 472-3588,"77 Central Ave, Albany, NY 12206",61,4.1,Gay bar, Closes 4AM,42.6594949,-73.76585769
Fuze Box,fuzeboxalbany.com,"Hip cocktail club offering punk & indie rock shows, plus regular DJs in a dark, retro-themed space.",,"12 Central Ave, Albany, NY 12210",52,4.3,Night club,,42.65759731,-73.7637073
