Names,Website,Introduction,Phone Number,Address,Review Count,Average Review Count,Type,Opens At,Latitude,Longitude
Fuze Box,fuzeboxalbany.com,"Hip cocktail club offering punk & indie rock shows, plus regular DJs in a dark, retro-themed space.",,"12 Central Ave, Albany, NY 12210",52,4.3,Night club,,42.6574715,-73.76365279
Waterworks Pub,waterworkspub.com,"Gay bar & club with 2 floors offering various games, karaoke nights, drag shows & a dance floor.",(518) 465-9079,"76 Central Ave, Albany, NY 12206",542,4,Gay bar, Opens 8PM Wed,42.65922714,-73.76646406
Rocks,rocks77.com,"Easygoing gay bar featuring DJs, karaoke nights & burlesque shows, plus outdoor seating.",(518) 472-3588,"77 Central Ave, Albany, NY 12206",61,4.1,Gay bar,,42.65954088,-73.7659682
Clubhouse,,None Found,(518) 487-4475,"325 Central Ave, Albany, NY 12206",37,4.5,Bar, Closes 4AM,42.6654422,-73.77269761
